"key","en","ja","zh-TW"
"active_admin.deferred_items.attributes.url","URL","Webサイト","網址"
"active_admin.deferred_items.filters.label_status_id","Label Status","マーキングステータス","標示狀態"
"active_admin.deferred_items.filters.product_id","Product ID","製品ID","商品 ID"
"active_admin.deferred_items.filters.product_shop_id","Store ID","店舗ID","商店 ID"
"active_admin.deferred_items.filters.product_shop_name","Store Name","店舗名","商店名稱"
"active_admin.deferred_items.filters.updated_at","Last Update Time","最終更新日","最後更新時間"
"active_admin.deferred_items.history.auto_update","(System Auto Update)","（システムは自動的に更新されます）","（系統自動更新）"
"active_admin.deferred_items.history.no_edit_record","No Modification Record","変更記録なし","沒有修改紀錄"
"active_admin.deferred_items.history.shop_recipients","Notification Recipients","受信者に通知する","通知收件人"
"active_admin.deferred_items.history.state","Label Status","マーキングステータス","標示狀態"
"active_admin.deferred_items.history.update_timestamp","Update Time","更新時間","更新時間"
"active_admin.deferred_items.history.update_user","Updater","更新者","更新者"
"active_admin.deferred_items.illustration.mail_notification.details","Check and send notification emails at 08:00 every day","毎日8:00に通知書を確認し送信する","每日 08 時檢查並寄發通知信"
"active_admin.deferred_items.illustration.mail_notification.type","Notification Email Sending Time","通知書の配達時間","通知信寄發時間"
"active_admin.deferred_items.illustration.title","Explanation","例示する","說明"
"active_admin.deferred_items.illustration.unpublish.details","Check and execute unpublishing at 08:00 every day (unpublishing will be executed 3 days after notification email sending)","毎日午前8時に商品を確認し、棚から商品を撤去します（商品の撤去は通知書の送付から3日後に実施されます）","每日 08 時檢查並執行下架（通知信寄發 3 天後執行商品下架）"
"active_admin.deferred_items.illustration.unpublish.type","Item Unpublishing Time","商品の撤去時間","商品下架時間"
"active_admin.deferred_items.illustration.update_auto_label.details","Update deferred item data at 08:00 every day","延期商品情報は毎日08:00に更新されます","每日 08 時更新遞延性商品資料"
"active_admin.deferred_items.illustration.update_auto_label.type","Update Item Time","製品の更新時間","更新商品時間"
"active_admin.deferred_items.judgement_action.confirm_negative","Misjudge","誤った判断","誤判"
"active_admin.deferred_items.judgement_action.confirm_positive","Confirm","確認する","確認"
"active_admin.deferred_items.judgement_action.confirm_positive_but_allow_for_publishing","Confirm but Allow for Publishing","確認するがリスト表示を許可する","確認但允許上架"
"active_admin.deferred_items.judgement_action.label_unclear","Cannot Confirm","確認できません","無法確認"
"active_admin.deferred_items.messages.bulk_update_complete_message","%{amount} data have been updated according to the judgment result.","判定結果に基づいて%{amount}件のレコードが更新されました。","已將 %{amount} 筆資料根據判斷結果更新。"
"active_admin.deferred_items.messages.update_complete_message","Label status update complete!","判定状況が更新されました！","判斷狀態更新完畢！"
"active_admin.deferred_items.messages.update_unchanged_message","Label status remains unchanged.","判定ステータスは変更されていません。","判斷狀態未做更動。"
"active_admin.deferred_items.scopes.all","All Records","すべての記録","全部紀錄"
"active_admin.deferred_items.scopes.negative","Misjudged by Manual Judgment","手動で誤判定と判定","經人工判斷為誤判"
"active_admin.deferred_items.scopes.notified","Notified Store","ストアに通知","已通知商店"
"active_admin.deferred_items.scopes.pending","Pending Manual Judgment","手動判定待ち","等待人工判斷"
"active_admin.deferred_items.scopes.positive","Confirmed by Manual Judgment","手動判断により確認","經人工判斷確認"
"active_admin.deferred_items.scopes.positive_valid_for_publishing","Confirmed but Allowed for Publishing","確認するがリスト表示を許可する","確認但允許上架"
"active_admin.deferred_items.scopes.unclear","Cannot Confirm","まだ確認されていません","尚無法確認"
"active_admin.deferred_items.scopes.unpublished","Item Unpublished","商品は棚から撤去されました","商品已下架"
"active_admin.deferred_items.status_code.negative","Misjudged","誤判断としてマーク","標示為誤判"
"active_admin.deferred_items.status_code.notified","Notified Store","ストアに通知","已通知商店"
"active_admin.deferred_items.status_code.pending","Pending Manual Judgment","手動判定待ち","待人工判斷"
"active_admin.deferred_items.status_code.positive","Confirmed","確認済みとしてマーク","標示為確認"
"active_admin.deferred_items.status_code.positive_valid_for_publishing","Confirmed but Allowed for Publishing","確認するがリスト表示を許可する","確認但允許上架"
"active_admin.deferred_items.status_code.unclear","Cannot Confirm","確認できません","無法確認"
"active_admin.deferred_items.status_code.unpublished","Item Unpublished","商品は棚から撤去されました","商品已下架"
"active_admin.deferred_items.tab_title","Deferred Items","繰延商品","遞延性商品"
"active_admin.deferred_items.update_form.label_status_id","Update Label Status","インジケーターのステータスを更新","更新標示狀態"
"active_admin.delete","Delete","消去","刪除"
"active_admin.delete_confirmation","Are you sure you want to delete?","本当に削除しますか?","確定刪除?"
"active_admin.delete_model","Delete %{model}","%{model} を削除","刪除%{model}"
"active_admin.details","%{model} Details","%{model} 詳細","%{model}詳情"
"active_admin.download","Download:","ダウンロード：","下載:"
"active_admin.edit","Edit","編集","編輯"
"active_admin.edit_model","Edit %{model}","%{model} を編集","編輯%{model}"
"active_admin.empty","Empty","クリア","清空"
"active_admin.equal_to","Equal to","等しい","等於"
"active_admin.filter","Filter","フィルター","過濾"
"active_admin.filters.predicates.from","Start Date","開始日","開始日期"
"active_admin.filters.predicates.to","End Date","終了日","結束日期"
"active_admin.fulfillment_query","Fulfillment Query","運送状クエリ","託運單查詢"
"active_admin.greater_than","Greater than","より大きい","大於"
"active_admin.has_many_delete","Delete","消去","刪除"
"active_admin.has_many_new","New %{model}","新しい%{model}を作成","新建一個%{model}"
"active_admin.index_selection.radio.header","Process","対処する","處理"
"active_admin.index_selection.radio.unselected","None","なし","無"
"active_admin.less_than","Less than","未満","小於"
"active_admin.logout","Logout","やめる","退出"
"active_admin.main_content","Please execute %{model}#main_content to display content.","コンテンツを表示するには%{model}#main_contentを実行してください。","請執行 %{model}#main_content 來顯示內容."
"active_admin.new_model","New %{model}","新しい %{model}","新建%{model}"
"active_admin.next","Next","次","下一個"
"active_admin.pagination.empty","No %{model} at the moment","%{model} はありません","暫時沒有%{model}"
"active_admin.pagination.multiple","Showing <b>%{from}&nbsp;-&nbsp;%{to}</b> of <b>%{total}</b> %{model}","<b>%{from}～%{to} のすべての <b>%{total}</b> %{model} を表示","顯示所有 <b>%{total}</b> %{model}中的<b>%{from}&nbsp;-&nbsp;%{to}</b> 條"
"active_admin.pagination.one","Showing <b>1</b> %{model}","<b>1</b> %{model} を表示","顯示 <b>1</b> %{model}"
"active_admin.pagination.one_page","Showing <b>all %{n}</b> %{model}","<b>すべての %{n}</b> %{model} を表示","顯示 <b>所有 %{n}</b> %{model}"
"active_admin.previous","Previous","前の","上一個"
"active_admin.query_creditcard.amount","Amount","額","金額"
"active_admin.query_creditcard.card4no","Last 4 Digits of Credit Card","クレジットカード番号の下4桁","信用卡後4碼"
"active_admin.query_creditcard.cybpay_trade_id","CYBERBIZ PAY Transaction ID","CYBERBIZ PAY 取引ID","CYBERBIZ PAY 交易編號"
"active_admin.query_creditcard.date","Transaction Date","カードスワイプ日","刷卡日期"
"active_admin.query_creditcard.fulfillment_status.arrived","Arrived at Store","すでに店頭に並んでいます","已到店"
"active_admin.query_creditcard.fulfillment_status.cancel","Shipping Cancelled","発送をキャンセル","取消出貨"
"active_admin.query_creditcard.fulfillment_status.expired","Expired and Not Picked Up","期限切れ","逾期未取"
"active_admin.query_creditcard.fulfillment_status.fulfilled","Shipped","発送済み","已出貨"
"active_admin.query_creditcard.fulfillment_status.non_arrival","Not Arrived at Store","まだ店頭に並んでいません","未到店"
"active_admin.query_creditcard.fulfillment_status.no_need","No Need to Ship","発送不要","不需出貨"
"active_admin.query_creditcard.fulfillment_status.non_receival","Not Received","受け取れませんでした","未收貨"
"active_admin.query_creditcard.fulfillment_status.partial","Partial Shipment","部分出荷","部分出貨"
"active_admin.query_creditcard.fulfillment_status.preparing","Preparing to Ship","すぐに発送可能","準備出貨"
"active_admin.query_creditcard.fulfillment_status.problem","Shipping Abnormality","異常分娩","運送異常"
"active_admin.query_creditcard.fulfillment_status.received","Received","受け取った","已收貨"
"active_admin.query_creditcard.fulfillment_status.returned","Returned","返品","已退貨"
"active_admin.query_creditcard.fulfillment_status.shipping","Shipping","配達","配送中"
"active_admin.query_creditcard.fulfillment_status.unshipped","Unshipped","発送されません","未出貨"
"active_admin.query_creditcard.mobile","Mobile","携帯電話","手機"
"active_admin.query_creditcard.name","Name","名前","姓名"
"active_admin.query_creditcard.no_any_result","No results found","結果が見つかりませんでした","沒有搜尋到任何結果"
"active_admin.query_creditcard.params_need","Please enter at least two parameters","少なくとも2つのパラメータを入力してください","請至少輸入兩個參數"
"active_admin.query_creditcard.query_tip","If not searching by 'CYBERBIZ PAY Transaction ID', please enter at least two parameters","「CYBERBIZ PAY 取引番号」で検索しない場合は、少なくとも 2 つのパラメータを入力してください。","若非使用「CYBERBIZ PAY 交易編號」搜尋，請至少輸入兩個參數"
"active_admin.query_creditcard.return_status.checking","Return Inspection","返品レビュー","退貨審查"
"active_admin.query_creditcard.return_status.in_hub","In Transit Center","積み替えセンター","轉運中心"
"active_admin.query_creditcard.return_status.in_origin_cvs","Original Sender's Store","発送元店舗","原寄件門市"
"active_admin.query_creditcard.return_status.no_need","No Need to Return","戻る必要はありません","不需退貨"
"active_admin.query_creditcard.return_status.partial_return","Partial Return","部分的な返品","部分退貨"
"active_admin.query_creditcard.return_status.problem","Shipping Abnormality","異常分娩","運送異常"
"active_admin.query_creditcard.return_status.processing","Customer Service Addressing","カスタマーサービスが処理中です","客服處理中"
"active_admin.query_creditcard.return_status.refused","Return Refused","復帰を拒否する","拒絕退貨"
"active_admin.query_creditcard.return_status.request_return","Return Requested","返品リクエスト","退貨申請"
"active_admin.query_creditcard.return_status.returned","Returned","返品","已退貨"
"active_admin.query_creditcard.return_status.returning","Returning","戻る","退貨中"
"active_admin.query_creditcard.title","Credit Card Query","クレジットカード振込","信用卡調單"
"active_admin.refund","Refund","返金","退款"
"active_admin.search_field","Search %{field}","%{field} を検索","查找%{field}"
"active_admin.shipping_note","Shipping Note","運送状関連","託運單相關"
"active_admin.shop_ezcat_fee_import","Black Cat Shipping Fee Import","ブラックキャット運送状手数料送金","黑貓託運單費用匯入"
"active_admin.shop_report","Report Import/Export","レポートのインポート/エクスポート","報表匯入/匯出"
"active_admin.shop_report_export","Shop Report Export","ストアレポートのエクスポート","商店報表匯出"
"active_admin.shop_warehouse_shipping_price","Warehouse Shipping Fee","倉庫保管と貨物輸送","倉儲運費"
"active_admin.sidebars.filters","All Filters","すべての条件","所有條件"
"active_admin.usa_orders_taxings","North American Order Tax Verification","北米注文の税務確認","北美訂單報稅核對"
"active_admin.view","View","チェック","查看"
"activemodel.attributes.contact.body","Content","コンテンツ","內容"
"activemodel.attributes.contact.email","Email Address","電子メールアドレス","Email地址"
"activemodel.attributes.contact.name","Name","名前","姓名"
"activemodel.errors.messages.blank","Cannot be blank","空にすることはできません","不能為空"
"activemodel.errors.messages.illegal_character","Cannot be used, as it contains special characters. Please modify and re-enter","特殊文字が含まれているため使用できません。修正して再入力してください。","不可用，因含有特殊字元，請修改後重新輸入"
"activemodel.errors.messages.wrong_length","Length error","長さが間違っています","長度錯誤"
"activemodel.errors.models.add_on/manifest/manifest.attributes.type.inclusion","%{value} App type error","%{value} アプリタイプエラー","%{value} App類型錯誤"
"activerecord.attributes.activity.content","Operation Content","操作内容","操作內容"
"activerecord.attributes.activity.eticket_export_fail_content","Export failed. Email notification - Ticket Verification Record Export Failure Notification has been sent to %{email}.","送金に失敗しました、手紙 - チケットキャンセル記録の送金失敗通知が %{email} に送信されました","匯出失敗，信件- 票券核銷紀錄匯出失敗通知 已寄給 %{email}"
"activerecord.attributes.activity.eticket_export_fail_subject","Ticket Verification Record Export Failure Notification","チケットキャンセル記録エクスポート失敗通知","票券核銷紀錄匯出失敗通知"
"activerecord.attributes.activity.eticket_message","Your ticket verification record has been successfully exported.
Please download the attachment %{file_name} to view the details.","チケット引き換え記録が正常にエクスポートされました。
詳細を表示するには、添付ファイル %{file_name} をダウンロードしてください。","您的票券核銷紀錄已經成功匯出。
請下載附件 %{file_name} 以查看詳情。"
"activerecord.attributes.activity.eticket_subject","【%{shop_name}】Ticket Verification Record Export - %{time}","【%{shop_name}】チケットキャンセル記録エクスポート - %{time}","【%{shop_name}】票券核銷紀錄匯出 - %{time}"
"activerecord.attributes.activity.export_success","Export successful. Email - Ticket redemption records for shop 【%{shop_name}】 exported on %{time} have been sent to %{email}.","送金は成功しました。手紙 - [%{shop_name}] チケットキャンセル記録送金 - %{time} が %{email} に送信されました。","匯出成功，信件- 【%{shop_name}】票券核銷紀錄匯出 - %{time} 已寄給 %{email}"
"activerecord.attributes.activity/messages.bonus_point","%{title} %{points} points %{expire_date} Remaining Points: %{unused_points}","%{title} %{points} ポイント %{expire_date} 残りポイント: %{unused_points}","%{title} %{points}點 %{expire_date} 剩餘點數: %{unused_points}"
"activerecord.attributes.activity/messages.bonus_point_for_customer","%{title} %{points} points for customer: <a href=""%{path}"">%{email}</a>","%{title} %{points} は顧客を指します: <a href=""%{path}"">%{email}</a>","%{title} %{points}點 給顧客: <a href=""%{path}"">%{email}</a>"
"activerecord.attributes.activity/messages.coupon","%{title} Serial Number: %{code} %{expire_date}","%{title} シリアル番号: %{code} %{expire_date}","%{title} 序號: %{code} %{expire_date}"
"activerecord.attributes.activity/messages.coupon_for_customer","%{title} Serial Number: %{code} for customer: <a href=""%{path}"">%{email}</a>","%{title} シリアル番号:%{code} お客様へ: <a href=""%{path}"">%{email}</a>","%{title} 序號:%{code} 給顧客: <a href=""%{path}"">%{email}</a>"
"activerecord.attributes.activity/messages.expire_date","Expiration Date: %{date}","有効期限: %{date}","到期日: %{date}"
"activerecord.attributes.activity/messages.forever","Forever","永続","永久"
"activerecord.attributes.activity/messages.system_default_user_name","Automatically Generated by System","システムによって自動的に生成されます","系統自動生成"
"activerecord.attributes.activity.operate","Operation","操作する","操作"
"activerecord.attributes.activity.order_eticket_export_fail_content","Export failed. Email notification - Ticket Orders Export Failure Notification has been sent to %{email}.","送金失敗、手紙 - チケット注文の送金失敗通知が %{email} に送信されました","匯出失敗，信件- 票券訂單匯出失敗通知 已寄給 %{email}"
"activerecord.attributes.activity.order_eticket_export_fail_subject","Ticket Orders Export Failure Notification","チケット注文エクスポート失敗通知","票券訂單匯出失敗通知"
"activerecord.attributes.activity.order_eticket_export_success","Export successful. Email - Ticket orders for shop 【%{shop_name}】 exported on %{time} have been sent to %{email}.","送金は成功しました。手紙 - 【%{shop_name}】チケット注文送金 - %{time} が %{email} に送信されました","匯出成功，信件- 【%{shop_name}】票券訂單匯出 - %{time} 已寄給 %{email}"
"activerecord.attributes.activity.order_eticket_message","Your ticket orders has been successfully exported.
Please download the attachment %{file_name} to view the details.","チケットの注文は正常に転送されました。
詳細を表示するには、添付ファイル %{file_name} をダウンロードしてください。","您的票券訂單已經成功匯出。
請下載附件 %{file_name} 以查看詳情。"
"activerecord.attributes.activity.order_eticket_subject","【%{shop_name}】Ticket Orders Export - %{time}","【%{shop_name}】チケット注文エクスポート - %{time}","【%{shop_name}】票券訂單匯出 - %{time}"
"activerecord.attributes.activity.perform_error","Reason for Failure: %{message}.","失敗理由:%{message}","失敗原因:%{message}"
"activerecord.attributes.add_buy_collection.item_limit","purchase limit","購入制限","購買上限"
"activerecord.attributes.add_buy_collection.price","minimum price displayed in cart","ショッピングカートに表示される最小金額","顯示在購物車的最低金額"
"activerecord.attributes.add_buy_collection_product.price","Amount","額","金額"
"activerecord.attributes.add_buy_collection.title","title","タイトル","標題"
"activerecord.attributes.add_buy_product_collection.product_pcs","Product PCS","タグ付けされた製品の数","標籤商品達件數"
"activerecord.attributes.article.author","Author","著者","作者"
"activerecord.attributes.article.body_html","Content","コンテンツ","內容"
"activerecord.attributes.article_dict.title","Title","タイトル","標題"
"activerecord.attributes.article.tags","Tags","ラベル","標籤"
"activerecord.attributes.article.title","Title","タイトル","標題"
"activerecord.attributes.billing_address.name","Name","購入者名","購買人姓名"
"activerecord.attributes.billing_address.phone","Phone","購入者の電話番号","購買人電話"
"activerecord.attributes.birth_gift_rule/defaults.title","Birthday gift for {{date}}","{{date}}ヶ月の誕生日プレゼント","{{date}}月生日禮"
"activerecord.attributes.birth_gift_rule.usage_settings","Coupons share restrictions with other promotional campaigns settings","他のマーケティング活動でのクーポンの使用に関する制限","優惠券與其他行銷活動併用限制設定"
"activerecord.attributes.blog.title","Title","タイトル","標題"
"activerecord.attributes.bonus_collection.end_date","Collection end date","終了日","結束日期"
"activerecord.attributes.bonus_collection.expire_day","Validity duration","発効日","有效日期"
"activerecord.attributes.bonus_collection.gained_bonuses","Bonus point","ボーナスを獲得","獲得紅利"
"activerecord.attributes.bonus_collection.published","Collection publish status","公的地位","公開狀態"
"activerecord.attributes.bonus_collection.start_date","Collection start date","開始日","開始日期"
"activerecord.attributes.bonus_collection.title","Collection name","グループ名","群組名稱"
"activerecord.attributes.bonus_collection.unit_price","Per dollar spent","単価","單位價格"
"activerecord.attributes.bonus_mall.end_at","End Time","終了時間","結束時間"
"activerecord.attributes.bonus_mall.handle","Store Link URL","モールリンクURL","商城連結網址"
"activerecord.attributes.bonus_mall_product_variant.product_variant_id","Product Variant ID","製品スタイル","商品款式"
"activerecord.attributes.bonus_rule.usage_limit_value","Single Order Discount Limit","1回の注文の最大割引","單筆訂單折抵上限"
"activerecord.attributes.bundle_discount.end_date","Promotion end date","終了日","結束日期"
"activerecord.attributes.bundle_discount_group.title","Collection name","グループ名","群組名稱"
"activerecord.attributes.bundle_discount.handle","Promotion link","イベントリンク","活動連結"
"activerecord.attributes.bundle_discount.published","Publish status","公的地位","公開狀態"
"activerecord.attributes.bundle_discount.start_date","Promotion start date","開始日","開始日期"
"activerecord.attributes.bundle_discount.title","Promotion name","アクティビティ名","活動名稱"
"activerecord.attributes.bundle_discount.weight","Promotion weight","重さ","權重"
"activerecord.attributes.category_campaign.discount_value","Discount Value","割引番号","折扣數字"
"activerecord.attributes.category_campaign.weight","Category Discount Order","プロモーションで並べ替え","活動優惠排序"
"activerecord.attributes.category.handle","Category URL","カテゴリURL","分類網址"
"activerecord.attributes.category.title","Category Name","カテゴリ名","分類名稱"
"activerecord.attributes.checkout_fee_plan.start_date","Effective Date","発効日","生效日期"
"activerecord.attributes.clock_in_out.in_time","Clock-in Time","勤務時間","上班時間"
"activerecord.attributes.clock_in_out.name","Name","名前","姓名"
"activerecord.attributes.clock_in_out.out_time","Clock-out Time","勤務時間終了","下班時間"
"activerecord.attributes.consumption.plan","Plan","プラン","方案"
"activerecord.attributes.consumption.price","Price","価格","價格"
"activerecord.attributes.consumption.quantity","Quantity","量","數量"
"activerecord.attributes.consumption.status","Status","状態","狀態"
"activerecord.attributes.coupon.code","Coupon code","シリアルナンバー","序號"
"activerecord.attributes.coupon_collection.coupon_end_date","Coupon end date","クーポンの有効期限","優惠券結束時間"
"activerecord.attributes.coupon_collection.coupon_start_date","Coupon start date","クーポン開始時間","優惠券開始時間"
"activerecord.attributes.coupon_collection.end_date","End time","終了時間","結束時間"
"activerecord.attributes.coupon_collection.start_date","Start time","開始時間","開始時間"
"activerecord.attributes.coupon_collection.title","Coupon name","クーポン名","優惠券名稱"
"activerecord.attributes.coupon.title","Coupon Title","クーポン名","優惠券名稱"
"activerecord.attributes.coupon.usage_limit","Usage Limit","クーポン数量","優惠券數量"
"activerecord.attributes.coupon.usage_settings","Coupon shares restriction settings with other promotional campaign","他のマーケティング活動でのクーポンの使用に関する制限","優惠券與其他行銷活動併用限制設定"
"activerecord.attributes.coupon.value","discount amount/percent","割引額/割引率","折價金額/折扣百分比"
"activerecord.attributes.custom_code_url.code","QRcode","バーコード/QRコード","條碼/QRcode"
"activerecord.attributes.custom_code_url.url","URL","Webサイト","網址"
"activerecord.attributes.custom_collection.body_html","Description","説明する","描述"
"activerecord.attributes.custom_collection.handle","Collection address code","グループ URL コード","群組網址代碼"
"activerecord.attributes.custom_collection.title","Title","タイトル","標題"
"activerecord.attributes.customer.accepts_marketing","Subscribe EDM","メルマガを購読する","接收行銷郵件"
"activerecord.attributes.customer_address.address1","Address 1","住所","地址"
"activerecord.attributes.customer_address.company","Company","会社","公司"
"activerecord.attributes.customer_address.country_code","Country Code","国家","國家"
"activerecord.attributes.customer_address.name","Name","名前","姓名"
"activerecord.attributes.customer_address.phone","Phone","電話","電話"
"activerecord.attributes.customer_address.zip","Zip","郵便番号","郵遞區號"
"activerecord.attributes.customer_authentication_application.redirect_url_after_login","redirect URL after login","ログインジャンプページ","登入跳轉頁面"
"activerecord.attributes.customer.current_password","Current password","現在のパスワード","舊密碼"
"activerecord.attributes.customer.email","Email","メールアドレス","Email信箱"
"activerecord.attributes.customer.mobile","Mobile number","携帯電話番号","手機"
"activerecord.attributes.customer.mobile_confirmation_token","Mobile verification code","SMS認証コード","手機驗證碼"
"activerecord.attributes.customer.mobile_sms_confirmation_sent_at","Mobile verification sent at","SMS認証の送信日時","手機發送驗證時間"
"activerecord.attributes.customer.mobile_sms_confirmed_at","Mobile verified at","認証完了日時","手機驗證時間"
"activerecord.attributes.customer.name","Name","お名前","姓名"
"activerecord.attributes.customer_other_valid_order.valid_at","Order Date (YYYY-MM-DD)","成立日時（YYYY-MM-DD）","成立時間 (YYYY-MM-DD)"
"activerecord.attributes.customer.password","Password","パスワード","密碼"
"activerecord.attributes.customer.password_confirmation","Confirm password","パスワード確認","確認密碼"
"activerecord.attributes.customer.reset_password_token","Reset password.","パスワード再設定","重設密碼金鑰"
"activerecord.attributes.customer.shop_disable_validation_token_sms","Shop disabled validation token sms.","認証コードを送信しないと設定されています","商家設定不發送驗證碼"
"activerecord.attributes.customer_tag_condition.mail_domain","Mail Domain","ドメインメールボックス","網域信箱"
"activerecord.attributes.disabled","Disabled","廃止","已作廢"
"activerecord.attributes.discount.days","Coupon Usage Days","クーポン有効日数","優惠券使用天數"
"activerecord.attributes.discount.threshold","minimum spending","消費量","消費金額"
"activerecord.attributes.discount.usage_settings","Coupons share restrictions with other promotional campaigns settings","他のマーケティング活動でのクーポンの使用に関する制限","優惠券與其他行銷活動併用限制設定"
"activerecord.attributes.discount.value","discount amount","割引額","折扣金額"
"activerecord.attributes.doorkeeper/application.name","Name","名前","Name"
"activerecord.attributes.doorkeeper/application.redirect_uri","Redirect URI","リダイレクトURI","Redirect URI"
"activerecord.attributes.edm/edm_contents.image","Image","写真","圖片"
"activerecord.attributes.edm/edm_contents.image_link","Image url","画像のハイパーリンク","圖片超連結"
"activerecord.attributes.edm_logo.image","Image","写真","圖片"
"activerecord.attributes.edm.title","Marketing email title","EDM タイトル","EDM標題"
"activerecord.attributes.einvoice.address","Address","住所","地址"
"activerecord.attributes.einvoice.company_no","Unified Business Number","統一番号","統一編號"
"activerecord.attributes.einvoice.invalid_at","Invalid Date","有効期限","作廢日期"
"activerecord.attributes.einvoice.invoice_at","Invoice Date","オープン日","開立日期"
"activerecord.attributes.einvoice.invoice_no","Invoice Number","請求書番号","發票號碼"
"activerecord.attributes.einvoice.invoice_type","Invoice Type","請求書の種類","發票類型"
"activerecord.attributes.einvoice.love_code","Donation Code","寄付コード","捐贈碼"
"activerecord.attributes.einvoice.nature_person","Natural Person Certificate","自然人証明書","自然人憑證"
"activerecord.attributes.einvoice.phone_barcode","Mobile Barcode","モバイルバーコード","手機條碼"
"activerecord.attributes.einvoice.status","Status","状態","狀態"
"activerecord.attributes.einvoice.title","Business Name","会社名","商家名稱"
"activerecord.attributes.einvoice.zip","Zip Code","郵便番号","郵遞區號"
"activerecord.attributes.email.body","Plain Text","プレーンテキスト","純文字"
"activerecord.attributes.email.body_html","HTML Template","HTML テンプレートコンテンツ","HTML 樣板內文"
"activerecord.attributes.email.title","Title","メールの件名","郵件主旨"
"activerecord.attributes.end_date","End Date","終了日","結束日期"
"activerecord.attributes.etag.battery","Battery Level","残りの電力","剩餘電量"
"activerecord.attributes.etag.mac","MAC","マック","MAC"
"activerecord.attributes.etag.preview_image","Preview Image","プレビュー画像","預覽圖片"
"activerecord.attributes.etag.signal","Signal Strength","信号強度","訊號強度"
"activerecord.attributes.etag.size","Page Size","レイアウトサイズ","版面大小"
"activerecord.attributes.etag.status","Status","状態","狀態"
"activerecord.attributes.etag.stock_position","Stock Position","ストレージ","儲位"
"activerecord.attributes.etag_template.height","Height","高い","高度"
"activerecord.attributes.etag_template.image","Template Image","サンプル写真","樣板圖片"
"activerecord.attributes.etag_template.size","Page Size","レイアウトサイズ","版面大小"
"activerecord.attributes.etag_template.width","Width","幅","寬度"
"activerecord.attributes.event.color","Color","色","顏色"
"activerecord.attributes.event.end","End Time","終了時間","結束時間"
"activerecord.attributes.event_page.handle","handle","URLタイトル","網址標題"
"activerecord.attributes.event_page_product.product_id","Product","商品","商品"
"activerecord.attributes.event_page.title","title","タイトル","標題"
"activerecord.attributes.event.start","Start Time","開始時間","起始時間"
"activerecord.attributes.event.user_id","Employee","スタッフ","員工"
"activerecord.attributes.express_delivery_address.address","Address","住所","地址"
"activerecord.attributes.express_delivery_address.floor","Floor","階数","樓層"
"activerecord.attributes.express_delivery_address.name","Name","名前","名稱"
"activerecord.attributes.ezcat.sender_name","Sender Name","送信者名","寄件人名稱"
"activerecord.attributes.ezcat.sender_product_name","Product Name","製品名","品名"
