編號,文件名稱,文件連結,note 欄位內容,舊文件連結
70,設定商品自訂分類群組.md,docs/ec/products/categorization/設定商品自訂分類群組.md,"- verify FAQ
- update internal links
- {'next steps 整合串接': 'POS 前台選單設定 link'}",
71,設定秘密商品群組.md,docs/ec/products/categorization/設定秘密商品群組.md,"- verify FAQ
- update internal links
- merge 商品排除搜尋
- add 推薦人分潤 doc link
- add batch edit 關閉商品搜尋",
72,編輯商品簡述與商品標語.md,docs/ec/products/creation/編輯商品簡述與商品標語.md,"- verify FAQ
- update internal links
- update 產品頁文字修改09
- add 樣板編輯器",
73,設定 VIP 會員專屬價格.md,docs/ec/products/sales/設定 VIP 會員專屬價格.md,- doc-previous 設定 VIP 會員群組 link,
74,設定商品影片.md,docs/ec/products/sales/設定商品影片.md,"- 圖示-上傳商品影片
- verify MBE",
75,設定搜尋結果中排除特定關鍵字商品.md,docs/ec/products/sales/設定搜尋結果中排除特定關鍵字商品.md,- verify faq tag,
76,設定商品配送條件（物流、溫層與出貨通路）.md,docs/ec/products/shipping/設定商品配送條件（物流、溫層與出貨通路）.md,"- verify FAQ
- update internal links
- wikilink to add 宅配物流：串接一般宅配物流
- verify 修改物流運費設定的注意事項",
77,啟用留言區 reCAPTCHA.md,docs/ec/website-appearance/啟用留言區 reCAPTCHA.md,"- verify FAQ
- update internal links",
78,拖拉版型網站設定.md,docs/ec/website-appearance/拖拉版型網站設定.md,- check 商品標籤 適用方案,
79,設定前台商品群組排序.md,docs/ec/website-appearance/設定前台商品群組排序.md,- 設定首頁商品列表顯示群組數量 路徑更改確認,
80,設定前台語系與文字自定義.md,docs/ec/website-appearance/設定前台語系與文字自定義.md,- verify 結帳頁文字修改步驟 + faq,
81,設定與修改客服中心資訊.md,docs/ec/website-appearance/設定與修改客服中心資訊.md,- add doclink for 拖拉版型客服資訊 instant preview,
82,設定轉貼連結縮圖 OG Image.md,docs/ec/website-appearance/設定轉貼連結縮圖 OG Image.md,"- verify 一般版型 og image 設定路徑
- inform 商品自訂分類群組圖片上傳 編輯器 URL 遺失問題
- verify faq test weight",
83,設置網站客服視窗.md,docs/ec/website-appearance/設置網站客服視窗.md,"- add doclink FBE
- add doclink omnichat",
84,星益欣電子發票設定指南.md,docs/ec/website-management/星益欣電子發票設定指南.md,"- verify FAQ
- update internal links
- add doc link [一鍵開立請款發票](https://www.cyberbiz.io/support/?p=2196)
- add doc link [POS – 星益欣(美麗科技)電子發票(https://www.cyberbiz.io/support/?p=46379)",
85,網域管理.md,docs/ec/website-management/網域管理.md,- 遠傳e管家已終止服務，下架對應內容,
86,續購與自動續約.md,docs/ec/website-management/續購與自動續約.md,- 內部連結：網站權限,
87,設定多國語言與多幣別.md,docs/ec/website-management/設定多國語言與多幣別.md,"- 向ts確認附件字典檔是否由客服提供，詢問是否頻繁，是否保留附件字典檔設定說明
- 預拉好後台多國語言與多幣別文件連結位置，需補上",
88,設定網站基本資訊.md,docs/ec/website-management/設定網站基本資訊.md,- verify feature validity 註冊跳轉頁面,
89,設定顧客註冊流程與欄位.md,docs/ec/website-management/設定顧客註冊流程與欄位.md,- 內部連結：樣板設定,
90,index.md,docs/pos/check/index.md,- 其他付款方式是否需要文件,
91,LINE PAY 掃碼支付.md,docs/pos/check/LINE PAY 掃碼支付.md,- 確認：可以註明客服信箱、匯出商品網站權限、結帳點擊優化,
92,多付款方式.md,docs/pos/check/多付款方式.md,- 報表 > 訂單彙總報表還有嗎,https://www.cyberbiz.io/support/?p=3060
93,客顯互動遊戲.md,docs/pos/check/客顯互動遊戲.md,"- 包含輪盤與抽紅包兩種遊戲類型
- 需注意遊戲建立後無法刪除",https://www.cyberbiz.io/support/?p=7666
94,掃描槍掃描後找不到商品.md,docs/pos/check/掃描槍掃描後找不到商品.md,"- CYB支援的掃碼槍是HS-8122？
- 此文件只適用13碼(EAN-13)標籤？",
95,混稅發票.md,docs/pos/check/混稅發票.md,"- 適用版本待確認
- EC POS 綁連結決定位置",
96,紅利商城.md,docs/pos/check/紅利商城.md,- 內部連結：商品開賣時間,
97,離線結帳模式.md,docs/pos/check/離線結帳模式.md,- 確認：離線模式僅支援windows電腦與平板，使用無線刷卡機不支援離線模式,
98,EPSON 有線發票機.md,docs/pos/hardware/EPSON 有線發票機.md,- 內部連結：POS驅動程式,
99,Posiflex 有線發票機.md,docs/pos/hardware/Posiflex 有線發票機.md,- 確認：是否支援星益欣、常見問題1驅動程式檔案連結是否有效,
100,商米無線刷卡機.md,docs/pos/hardware/商米無線刷卡機.md,- 確認：MYPAY可以用星益欣發票嗎,
101,客顯螢幕.md,docs/pos/hardware/客顯螢幕.md,- 內部連結：驅動程式、 POS 互動遊戲、訂單加價購,
102,平板裝置使用說明.md,docs/pos/hardware/平板裝置使用說明.md,- 確認：windows作業系統支援版本,
103,有線刷卡機.md,docs/pos/hardware/有線刷卡機.md,- 內部連結：安裝驅動程式,
104,標籤印表機.md,docs/pos/hardware/標籤印表機.md,- 內部連結：POS驅動程式,
105,庫存盤點.md,docs/pos/inventory/庫存盤點.md,- 更多操作要調整,
106,庫存調整.md,docs/pos/inventory/庫存調整.md,- 更多操作須更新,
107,小結關帳.md,docs/pos/others/小結關帳.md,- 常見問題ai製需確認,
108,公告系統.md,docs/pos/others2/公告系統.md,- 內部連結：人員權限,
109,設定前台自動登出時間.md,docs/pos/others2/設定前台自動登出時間.md,- 內部連結：POS權限設定,
110,人員權限欄位參考表.md,docs/pos/reference/人員權限欄位參考表.md,- 確認：欄位範圍皆為推測，需仔細驗證、上下班打卡是管理功能還是使用功能,
111,index.md,docs/resources/index.md,- 資源中心功能說明 link,
112,POS 系統串倉庫存轉調.md,docs/wms/POS 系統串倉庫存轉調.md,"- 確認版本限制
- 圖片介面過舊",
113,供應商.md,docs/wms/供應商.md,- 內部連結：權限設定,
114,加工商品.md,docs/wms/加工商品.md,"- 加工商品可以匯出批次編輯嗎
- 加工品會對應到EC的一般商品還是組合品
- 內部連結：建立EC一般商品、建立組合品、更多操作",
115,商家自行驗收退貨.md,docs/wms/商家自行驗收退貨.md,- 內部流程：ec 退貨退款,
116,商家進倉作業規範.md,docs/wms/商家進倉作業規範.md,- 內部連結：建立進倉單、進倉條碼,
117,啟用部分串倉與拆單.md,docs/wms/啟用部分串倉與拆單.md,"- 內部連結：建立自訂物流、部分出貨
- 相關操作：批次匯入編輯商品、訂單篩選器、商品篩選器、編輯訂單列表欄位
- 確認：自訂出貨訂單不適用貨到付款",https://www.cyberbiz.io/support/?p=22981
118,啟用部分串倉與混單.md,docs/wms/啟用部分串倉與混單.md,"- 內部連結：拆單建立自訂物流、建立退貨單、會員前台申請退貨、編輯訂單列表欄位
- 確認：混合物流取交集或聯集
- 確認：混合出貨有在訂單篩選器裡嗎
- 用詞：串接宅配
- 訂單列表編輯欄位",
119,季別群組.md,docs/wms/季別群組.md,- 內部連結：庫齡報表,
120,官網與倉儲同步規則.md,docs/wms/官網與倉儲同步規則.md,"- 內部連結：訂單切換為準備出貨
- 編輯訂單列表欄位",
121,手動建單.md,docs/wms/手動建單.md,"- 內部連結：建立通路
- 確認：出貨日與配達日
- 確認：效期/批號管理是否有材料對應文件",
122,手動確認收貨.md,docs/wms/手動確認收貨.md,- 內部連結：倉儲退貨、退貨進倉作業、退款作業,
123,操作紀錄列表.md,docs/wms/操作紀錄列表.md,- 可以查看的同仁操作名單，會依登入者的權限不同而有差異嗎,
124,申請流程與開通.md,docs/wms/申請流程與開通.md,"- 內部連結：大量填補SKU教學、建立單一品項、建立加工商品
- 確認：宅配物流，結帳頁是串接物流與自訂物流並存？串接物流與自訂物流皆須設置？",
125,設定商品(現貨、限量、預購).md,docs/wms/設定商品(現貨、限量、預購).md,- 使用須知恢復同步為ai製作，是否符實,
126,退貨單.md,docs/wms/退貨單.md,"- 檢查：退貨單狀態
- 檢查：僅 EC 高手版可於倉儲建退貨單？
- 內部連結：EC逆物流、倉庫串倉商家退貨流程",
127,通路.md,docs/wms/通路.md,- 內部連結：通路綁定商品、報表分析,
